Target Id,Attack Type,Attack Num,Average Total Variation Gap,Average JS Divergence
1689,gan,1,0.00433966433795579,0.000571732175804794
1689,gan,2,0.009438756247761212,0.0012188000365180155
1689,gan,3,0.012559447766067103,0.0017379046212742525
1689,gan,4,0.014517010272066254,0.002135630564706345
1689,gan,5,0.019607411204500196,0.002819826987125469
