Model Name,Target Id,Attack Type,Attack Number,Avg Pred Rating Diff,Var Pred Rating Diff,Std Pred Rating Diff,Avg Rank Diff,Var Rank Diff,Std Rank Diff,Ratio Rank 1,Composite Impact Score
IAutoRec,2001,segment,1,0.8418407069992109,0.5553727486104261,0.7452333517834706,19.40053050397878,378.7804111317829,19.462281755533777,0.033156498673740056,8.091179533054671
IAutoRec,2001,segment,2,0.7035459014390073,0.5909347310243165,0.7687227920546629,15.503315649867375,335.6250719454218,18.320072924129473,0.009283819628647215,6.470513372553718
IAutoRec,2001,segment,3,0.6076042220248077,0.578150789938201,0.7603622754570357,12.336206896551724,294.02690318742424,17.147212694412588,0.001989389920424403,5.161890019923092
IAutoRec,2001,segment,4,0.6127546949917175,0.46444432940802427,0.6815015256094621,12.263262599469495,286.3360880875982,16.921468260396267,0.002652519893899204,5.133959034492211
IAutoRec,2001,segment,5,0.6018991144703647,0.46708663874232126,0.6834373700218047,11.413793103448276,262.14982953115344,16.191041644414156,0.002652519893899204,4.786504747603709
