Model Name,Target Id,Attack Type,Attack Number,Avg Pred Rating Diff,Var Pred Rating Diff,Std Pred Rating Diff,Avg Rank Diff,Var Rank Diff,Std Rank Diff,Ratio Rank 1,Composite Impact Score
IAutoRec,1689,bandwagon,1,0.7774608710272879,0.3543328686149338,0.5952586569004552,15.453580901856764,341.7901464254346,18.4875673474212,0.029840848806366047,6.479557889955402
IAutoRec,1689,bandwagon,2,0.984984719285577,0.34628179754072,0.5884571331377674,22.25132625994695,373.25265251989396,19.319747734375156,0.050397877984084884,9.287504699605302
IAutoRec,1689,bandwagon,3,0.9218914360744562,0.3102099805776325,0.5569649724871686,20.235411140583555,367.80453154949754,19.178230667856134,0.035145888594164454,8.45329156875337
IAutoRec,1689,bandwagon,4,1.0402667693402188,0.3245527391748354,0.5696953038026866,25.50663129973475,348.20765340876085,18.66032297171624,0.03050397877984085,10.614566768202597
IAutoRec,1689,bandwagon,5,0.9788920307172745,0.2518858714963578,0.5018823283363918,22.67241379310345,362.4553234331739,19.03825946438313,0.026525198938992044,9.454576097278842
