Attack_Type,slope,r_value ** 2
average,-0.05033156498673741,0.9809641385417024
gan,-0.061007957559681684,0.697734999192131
BigGan,-0.06584880636604773,0.80886541345242
segment,-0.0067639257294429605,0.6454094292803969
random,-0.028580901856763943,0.5928189384462204
bandwagon,-0.01498673740053049,0.5751801801801795
